,Oil,US Bonds,US Dollar,Euro,Alternative Oil (Exxon),Gold,Japanese Yen,Natural Gas,US Economy (Spy)
0,26.49,8.147,82.79,1.3773,12.69,392.6,134.32,1.832,326.4
1,25.48,8.11,82.81,1.3777,12.75,390.3,133.0,1.782,321.9
2,24.9,8.161999999999999,83.36,1.3675,12.88,388.6,134.75,1.743,321.0
3,27.65,8.318,84.67,1.3465,12.72,397.6,136.16,1.785,315.4
4,27.17,8.328375,84.95,1.3432,12.69,393.7,136.48,1.786,314.9
5,27.26,8.33875,84.53,1.3635,12.47,394.4,136.76,1.728,311.5
6,27.71,8.349124999999999,84.19,1.3531,12.59,393.5,134.4,1.698,314.5
7,27.29,8.3595,84.29,1.3462,12.47,394.7,133.95,1.695,315.2
8,30.78,8.390625,84.83,1.3423,12.5,403.0,135.12,1.728,312.5
9,30.07,8.401,84.85,1.3373,12.47,401.6,135.75,1.72,313.7
10,32.0,8.404,85.11,1.3363,12.44,405.9,136.8,1.719,316.2
11,21.44,8.196,83.37,1.3624,12.72,375.8,132.4,1.621,328.0
12,19.25,8.172,82.77,1.3738,12.91,376.5,132.35,1.567,332.2
13,21.3,8.1912,82.45,1.3812,12.81,380.9,132.45,1.57,331.1
14,24.18,8.197600000000001,82.79,1.3786,12.72,381.5,132.5,1.538,328.3
15,22.04,8.204,82.22,1.3842,13.0,380.2,131.87,1.385,330.2
16,21.71,8.164,82.42,1.3861,13.0,374.8,132.39,1.382,334.8
17,21.35,8.231,82.73,1.383,13.16,377.4,132.5,1.399,336.1
18,20.96,8.217,82.39,1.384,13.12,378.4,131.66,1.381,336.0
19,21.85,8.207,82.72,1.3874,13.0,377.7,132.12,1.385,335.8
20,20.97,8.223,82.48,1.384,12.94,371.5,131.14,1.38,340.9
21,21.54,8.199,82.0,1.3932,12.91,368.5,131.25,1.38,343.9
22,21.34,8.095,81.64,1.4003,12.62,368.7,131.6,1.38,343.1
23,21.14,8.045,81.38,1.4015,12.81,371.6,130.63,1.368,348.3
24,20.66,8.032,81.03,1.4075,12.66,368.9,129.58,1.37,351.3
25,21.49,8.006,80.52,1.4159,13.22,365.2,128.16,1.371,358.1
26,21.22,7.892,80.89,1.4185,13.44,370.0,128.46,1.38,356.5
27,21.92,7.96,80.84,1.4085,13.28,372.4,127.75,1.365,359.4
28,22.47,7.963,80.49,1.4186,13.62,369.1,127.72,1.353,368.6
29,22.93,7.963,80.89,1.4125,13.34,370.3,128.66,1.348,365.5
30,22.56,7.958,81.23,1.4095,13.69,369.5,129.6,1.35,369.0
31,22.32,7.991,81.38,1.3991,13.44,370.2,129.73,1.367,364.2
32,20.88,7.982,81.92,1.3915,13.34,366.1,130.5,1.385,369.1
33,20.07,7.994,82.61,1.3819,13.38,366.1,131.64,1.395,369.4
34,20.48,7.994,82.67,1.3765,13.41,366.1,131.44,1.355,365.1
35,18.5,8.013,82.48,1.3822,13.47,364.1,131.28,1.334,365.0
36,17.91,8.067,83.13,1.3692,13.44,358.3,132.16,1.345,365.6
37,17.94,8.05,83.86,1.353,13.47,360.8,133.59,1.351,367.3
38,18.37,8.0965,83.93,1.3493,13.44,360.2,132.88,1.355,362.8
39,18.86,8.143,83.87,1.3515,13.94,364.9,132.25,1.356,367.7
40,19.16,8.21,84.08,1.3457,13.78,370.7,133.03,1.373,367.1
41,19.38,8.286,84.84,1.3365,13.94,370.3,134.65,1.361,370.5
42,20.25,8.295,84.71,1.3388,13.66,371.2,135.47,1.355,369.3
43,20.43,8.242,85.05,1.3375,13.72,368.0,136.3,1.355,376.7
44,19.73,8.283,84.94,1.3352,13.72,369.2,135.68,1.356,376.2
45,19.42,8.221,85.24,1.3281,13.81,370.2,135.41,1.363,375.9
46,19.31,8.218571428571428,86.31,1.3148,13.84,372.8,136.74,1.359,374.9
47,18.99,8.211285714285715,86.9,1.3022,13.88,367.8,138.25,1.362,373.0
48,19.68,8.208857142857143,86.21,1.3065,14.06,367.7,135.81,1.375,370.0
49,20.45,8.206428571428573,86.35,1.3018,14.31,369.7,135.75,1.395,374.6
50,20.27,8.204,86.72,1.3013,14.25,367.8,136.0,1.381,373.5
51,20.01,8.295,87.9,1.284,14.28,367.3,137.87,1.385,373.6
52,19.76,8.38875,88.91,1.2645,14.09,365.1,137.97,1.386,372.1
53,20.61,8.42,89.64,1.2405,14.09,365.9,137.74,1.391,366.6
54,20.38,8.345,89.41,1.2455,14.28,365.0,138.26,1.376,367.9
55,20.49,8.333,88.87,1.2548,14.31,364.9,136.85,1.397,366.6
56,20.1,8.33,89.47,1.2517,14.47,364.8,137.55,1.385,367.5
57,19.62,8.321,91.08,1.2323,14.78,360.6,139.15,1.39,369.8
58,19.76,8.309,91.04,1.2195,14.88,358.8,138.8,1.395,376.3
59,19.41,8.256,91.87,1.2095,14.59,358.4,139.53,1.395,375.4
60,19.63,8.244,92.02,1.205,14.62,359.4,141.18,1.405,375.2
61,19.29,8.262,90.81,1.2119,14.38,362.4,139.34,1.415,371.3
62,19.7,8.218,90.35,1.2252,14.72,360.5,137.95,1.42,379.5
63,19.47,8.238,90.46,1.2305,14.47,362.2,137.41,1.417,378.9
64,19.98,8.189,89.92,1.2325,14.38,361.7,136.0,1.403,379.8
65,19.96,8.177,90.63,1.2297,14.34,362.1,136.65,1.4,375.4
66,20.31,8.16,90.95,1.2212,14.41,364.0,137.15,1.395,378.7
67,20.26,8.206,89.62,1.2345,14.25,367.2,134.78,1.391,373.6
68,21.05,8.231,90.52,1.2272,14.28,366.3,137.78,1.376,373.1
69,20.89,8.256,89.94,1.2367,14.56,364.8,136.05,1.375,377.6
70,21.48,8.157,90.36,1.2275,14.94,362.7,136.3,1.376,380.4
71,21.91,8.131,89.64,1.2345,14.88,363.2,134.24,1.382,381.2
72,21.64,8.12,89.57,1.2375,15.03,363.1,134.76,1.376,387.6
73,21.71,8.108,89.84,1.236,15.03,363.7,136.13,1.378,390.4
74,21.08,8.183,91.3,1.2225,14.97,360.2,137.8,1.375,388.5
75,21.13,8.247,92.71,1.1906,15.03,359.0,138.35,1.355,384.2
76,21.62,8.3,93.81,1.17,15.03,359.7,139.25,1.35,380.9
77,20.88,8.274,92.93,1.184,15.22,358.9,137.75,1.39,381.8
78,20.94,8.218,93.15,1.1765,15.22,358.1,137.85,1.38,382.8
79,21.15,8.241,93.26,1.178,14.78,355.8,137.71,1.379,379.2
80,21.28,8.23875,93.46,1.1764,14.88,355.5,138.3,1.367,379.0
81,21.26,8.232,93.31,1.177,14.78,357.1,136.8,1.374,373.7
82,20.96,8.186,91.54,1.1986,14.88,359.5,136.06,1.375,375.4
83,21.25,8.168,91.91,1.2045,15.09,359.5,138.1,1.376,380.3
84,21.17,8.122,92.27,1.1905,14.91,359.5,138.13,1.366,380.5
85,21.37,8.228,93.44,1.1744,14.81,357.3,138.85,1.356,380.8
86,21.68,8.218,92.69,1.1874,14.72,358.7,138.21,1.357,380.1
87,21.63,8.244,92.07,1.198,14.41,359.9,137.85,1.353,377.3
88,21.78,8.23,92.6,1.2002,14.56,360.3,138.3,1.347,378.5
89,21.93,8.273000000000001,92.51,1.2,14.91,361.1,137.97,1.352,383.2
90,21.27,8.316,92.38,1.1948,14.47,360.1,138.65,1.35,375.7
91,20.91,8.267,92.01,1.201,14.38,361.6,139.34,1.349,376.8
92,20.74,8.343,91.29,1.214,14.06,363.0,137.91,1.349,371.6
93,20.92,8.336,90.79,1.2208,14.09,362.6,137.18,1.35,368.6
94,20.89,8.327,91.15,1.2134,14.41,358.8,137.51,1.345,372.2
95,21.18,8.281,92.95,1.19,14.5,357.7,138.45,1.343,372.4
96,21.37,8.287,92.72,1.1895,14.56,359.8,138.55,1.332,372.3
97,21.4,8.253,91.82,1.1989,14.75,359.6,137.25,1.33,375.4
98,20.83,8.278,92.26,1.1934,14.75,358.1,137.85,1.336,376.2
99,21.02,8.298,91.9,1.198,14.69,356.8,137.8,1.33,375.0
100,21.19,8.301,91.74,1.205,14.66,358.1,138.3,1.335,377.5
101,21.33,8.286,91.16,1.2109,14.66,365.1,137.47,1.331,381.9
102,21.11,8.291,92.02,1.1974,14.69,362.6,138.16,1.344,382.8
103,21.32,8.280000000000001,92.18,1.1949,14.62,366.5,137.84,1.338,387.0
104,21.13,8.269,93.13,1.1804,14.56,364.8,138.45,1.333,389.8
105,21.13,8.324,93.44,1.1776,14.72,366.4,139.05,1.333,388.1
106,21.02,8.331,93.29,1.1797,14.62,365.8,138.84,1.329,387.7
107,20.47,8.392,93.48,1.1784,14.47,365.7,139.25,1.315,385.1
108,20.33,8.414,93.7,1.1748,14.56,368.1,139.15,1.297,383.6
109,20.28,8.474,94.56,1.162,14.38,369.5,140.35,1.283,379.4
110,19.84,8.483,94.56,1.1644,14.5,376.6,141.38,1.287,378.6
111,19.96,8.48,94.86,1.1595,14.62,373.9,141.22,1.28,381.1
112,20.05,8.543,95.56,1.15,14.41,373.1,141.55,1.271,376.6
113,19.71,8.515,95.91,1.1441,14.47,372.9,141.36,1.293,377.6
114,19.67,8.462,95.79,1.1429,14.56,369.8,140.73,1.293,382.3
115,19.94,8.494,95.78,1.1444,14.38,370.8,140.66,1.262,380.1
116,20.13,8.521,96.73,1.1305,14.25,370.9,141.14,1.245,378.6
117,19.99,8.509,95.55,1.145,14.25,371.1,140.16,1.215,375.1
118,20.15,8.467,95.39,1.1444,14.53,370.4,138.38,1.167,375.4
119,20.23,8.509,95.81,1.1385,14.62,368.1,139.0,1.195,377.8
120,19.98,8.512,95.05,1.1519,14.53,365.2,138.91,1.118,370.9
121,20.05,8.512,95.55,1.1445,14.62,366.7,138.1,1.123,370.6
122,20.08,8.515,95.3,1.1489,14.81,367.9,138.25,1.142,371.6
123,20.48,8.488,95.51,1.1429,14.75,371.3,137.84,1.182,374.4
124,20.56,8.408,96.06,1.1355,14.53,371.7,137.48,1.208,371.2
125,20.76,8.438,96.81,1.1246,14.97,371.6,138.5,1.19,377.9
126,20.82,8.435,97.15,1.1209,14.69,371.1,138.84,1.171,377.5
127,20.67,8.415,97.07,1.1234,14.34,373.3,139.63,1.191,373.3
128,20.89,8.496,96.71,1.1264,14.38,373.5,138.35,1.183,374.1
129,21.24,8.497,96.03,1.1364,14.62,373.8,138.56,1.198,377.9
130,21.29,8.524,96.48,1.1305,14.41,372.3,138.87,1.18,376.1
131,21.43,8.515,96.35,1.1335,14.34,372.9,138.65,1.16,375.7
132,21.29,8.467,97.18,1.121,14.47,370.6,138.69,1.157,377.0
133,21.72,8.44,95.06,1.1484,14.69,371.3,136.5,1.165,380.2
134,21.47,8.437,95.21,1.1474,14.78,371.8,136.99,1.169,382.4
135,21.65,8.455,95.58,1.1412,14.75,371.5,137.25,1.205,381.5
136,22.14,8.485,95.24,1.1469,14.97,372.2,136.95,1.235,381.2
137,21.94,8.473,94.66,1.1589,14.97,372.6,137.0,1.25,385.4
138,22.16,8.476,93.48,1.1764,14.91,372.9,136.35,1.247,384.2
139,21.72,8.473,94.17,1.1654,14.88,369.8,137.63,1.22,382.9
140,21.32,8.494,94.0,1.1694,14.62,370.2,137.15,1.195,379.4
141,21.52,8.414,93.23,1.1835,14.72,366.4,137.44,1.216,378.6
142,21.46,8.381,94.19,1.1682,14.78,366.4,138.85,1.245,381.0
143,21.48,8.387,93.52,1.1774,14.69,368.1,137.7,1.238,380.9
144,21.35,8.39,93.75,1.1744,14.81,365.3,137.8,1.225,383.1
145,21.42,8.38,94.0,1.1694,14.88,366.1,137.81,1.238,386.7
146,21.68,8.343,93.49,1.1774,14.84,367.2,137.35,1.26,387.8
147,21.27,8.355,93.98,1.17,14.84,366.7,137.57,1.255,387.1
148,21.32,8.248,93.36,1.1794,14.69,358.9,137.2,1.26,387.2
149,21.47,8.228,92.34,1.1952,14.59,359.3,136.66,1.275,385.1
150,21.37,8.201,91.88,1.1995,14.94,359.7,135.62,1.286,390.6
151,21.36,8.174,92.01,1.1989,14.72,359.5,135.88,1.294,390.6
152,21.58,8.17,92.3,1.1934,14.53,360.0,136.25,1.293,389.3
153,21.62,8.224,92.86,1.186,14.38,361.1,136.6,1.288,387.1
154,21.69,8.207,92.7,1.1884,14.41,360.2,136.53,1.289,388.0
155,21.58,8.169,92.97,1.1835,14.47,358.9,136.43,1.287,389.6
156,21.27,8.064,93.2,1.1799,14.31,360.3,136.69,1.283,389.9
157,21.44,8.089,93.74,1.1725,14.38,359.4,137.08,1.288,389.3
158,21.3,8.086,94.38,1.1627,14.38,360.2,137.4,1.278,385.6
159,22.47,8.102,96.46,1.1278,14.41,360.9,138.09,1.294,376.5
160,22.27,8.087,95.46,1.144,14.38,358.1,137.25,1.293,379.4
161,21.55,8.066,93.23,1.181,14.56,358.9,136.43,1.312,390.6
162,21.72,8.05,92.9,1.1845,14.62,356.2,136.75,1.42,391.3
163,21.81,8.13,93.59,1.174,14.75,355.3,136.88,1.522,394.2
164,21.97,8.147,93.5,1.175,14.62,357.0,136.87,1.593,393.9
165,21.98,8.13,93.6,1.174,14.66,356.2,136.95,1.576,393.1
166,21.74,8.055,93.14,1.1814,14.88,355.6,136.55,1.578,396.6
167,21.97,7.992,93.37,1.1778,14.72,354.1,137.15,1.571,396.5
168,22.26,8.058,93.49,1.1755,14.56,351.3,136.83,1.564,395.4
169,22.24,8.044,92.97,1.1835,14.5,351.3,135.82,1.556,392.1
170,21.81,8.06,92.92,1.1829,14.47,351.4,135.47,1.568,390.0
171,21.69,8.085,93.0,1.1819,14.69,349.8,135.85,1.593,389.1
172,21.57,8.016,92.11,1.198,14.75,351.8,135.6,1.617,389.1
173,21.33,7.994,91.11,1.2108,14.72,353.6,134.67,1.629,388.6
174,21.41,8.008,91.17,1.2115,14.66,352.4,134.72,1.683,384.6
175,21.64,8.016,90.95,1.2144,14.72,347.8,134.7,1.629,385.1
176,21.53,7.924,90.77,1.2155,14.72,346.6,134.15,1.596,387.3
177,21.68,7.945,90.78,1.2149,14.59,346.6,134.05,1.59,383.6
178,21.82,7.925,90.34,1.2225,14.91,346.7,133.65,1.595,385.8
179,21.62,7.913,90.19,1.2245,14.84,348.8,133.88,1.598,385.5
180,21.84,7.92,90.83,1.2159,14.81,350.7,134.39,1.61,386.9
181,21.76,7.919,90.95,1.2136,14.84,350.3,134.5,1.67,387.6
182,21.97,7.891,90.78,1.2155,14.75,350.4,134.22,1.742,387.9
183,22.07,7.877,90.07,1.2235,14.66,352.6,132.81,1.919,385.9
184,22.19,7.883,90.85,1.2129,14.88,355.5,133.59,1.889,387.7
185,22.21,7.902,90.55,1.2191,14.84,354.6,133.23,1.899,386.9
186,22.21,7.88,90.83,1.214,14.69,352.4,133.82,1.918,386.5
187,22.32,7.822,90.12,1.226,14.69,352.4,133.15,1.92,385.9
188,22.23,7.811,89.9,1.2279,14.88,357.3,133.06,1.935,387.9
189,22.22,7.801,90.02,1.2275,15.06,357.3,133.43,1.907,389.2
190,22.33,7.824,89.85,1.2285,15.06,358.6,132.56,1.894,388.3
191,22.67,7.83,89.52,1.2313,14.88,360.6,130.57,1.891,384.5
192,22.61,7.782,90.06,1.2209,14.78,361.7,129.65,1.904,381.2
193,22.98,7.793,90.12,1.2195,14.81,362.0,129.63,1.913,379.5
194,22.99,7.819,90.95,1.201,15.03,360.2,130.4,1.943,380.7
195,23.16,7.907,90.6,1.2122,14.84,362.1,129.81,1.97,376.8
196,22.98,7.965,90.81,1.2075,15.06,361.3,130.35,1.958,380.6
197,23.09,7.871,90.5,1.2125,15.03,362.4,129.57,1.955,381.4
198,23.46,7.868,90.89,1.2054,15.22,361.3,129.7,1.982,386.5
199,23.86,7.856,91.52,1.1959,15.22,360.1,130.03,1.986,391.0
200,23.67,7.88,91.26,1.201,15.12,360.5,130.09,2.001,392.8
201,23.93,7.996,90.75,1.2075,15.25,362.3,129.4,2.014,391.9
202,24.14,7.958,90.43,1.2134,15.38,364.4,129.9,2.025,392.5
203,24.04,8.062,90.74,1.209,15.31,365.9,130.84,2.013,390.0
204,23.48,8.095,91.03,1.2054,15.28,366.0,131.43,1.91,387.8
205,23.26,8.076,91.62,1.1965,15.22,364.3,131.68,1.889,387.9
206,23.49,8.026,91.08,1.205,15.12,364.0,131.32,2.069,385.1
207,23.12,8.043,91.13,1.2048,15.16,362.7,131.55,2.081,384.2
208,23.21,8.021,91.89,1.1929,15.44,360.8,132.28,2.106,389.5
209,23.11,7.896,90.48,1.2153,15.41,361.1,130.62,2.092,391.5
210,23.11,7.888,89.89,1.2249,15.28,361.9,131.0,2.065,393.0
211,23.37,7.899,89.93,1.2242,15.25,360.9,130.82,2.046,392.5
212,23.82,7.921,88.7,1.2439,15.12,358.3,129.75,2.083,391.3
213,23.8,7.947,88.44,1.2479,15.41,359.5,129.18,2.12,390.3
214,23.78,7.958,88.54,1.248,15.19,356.8,130.05,2.071,388.7
215,23.4,8.004,88.58,1.249,15.28,357.2,129.95,2.063,390.0
216,23.2,7.9405,88.71,1.2454,15.16,356.1,129.92,2.082,393.7
217,23.01,7.877,88.91,1.2399,15.03,356.6,130.4,2.082,392.9
218,22.58,7.874,88.64,1.2463,15.06,357.7,130.02,2.07,393.1
219,22.5,7.791,88.7,1.2462,15.06,358.2,130.0,2.055,396.7
220,22.35,7.872,88.54,1.2507,15.06,358.8,130.09,2.04,397.4
221,22.52,7.818,88.26,1.2537,14.94,357.2,129.62,2.0,397.1
222,22.79,7.822,87.86,1.2605,14.31,361.6,129.35,2.04,382.6
223,22.4,7.845,87.45,1.2664,14.56,363.0,129.69,2.001,385.2
224,22.0,7.909,86.87,1.276,14.75,366.0,129.93,1.91,379.4
225,22.22,7.904,87.22,1.2754,14.59,366.3,129.69,1.987,378.5
226,21.78,7.961,87.11,1.2753,14.69,370.2,129.57,2.089,380.1
227,21.21,7.98,86.63,1.2824,14.44,371.2,129.45,2.086,376.1
228,21.42,7.986,86.65,1.2797,14.53,369.9,127.93,2.078,375.3
229,21.02,7.945,87.6,1.2614,14.56,367.9,130.25,2.066,378.0
230,21.35,7.966,87.84,1.262,14.59,371.2,129.88,2.105,376.6
231,21.48,7.934,88.19,1.255,14.66,371.1,130.02,2.09,375.2
232,21.08,7.901,87.74,1.2612,14.84,369.9,130.16,2.1,381.4
233,20.51,7.898,87.51,1.2654,14.62,366.4,129.38,2.102,381.0
234,20.76,7.839,87.11,1.2713,14.47,367.9,129.11,2.083,380.1
235,20.39,7.839,86.63,1.2794,14.28,370.0,128.72,2.024,377.4
236,20.04,7.78,85.75,1.2953,14.28,371.9,127.93,1.979,379.1
237,19.42,7.783,86.01,1.2932,14.03,371.6,128.28,1.939,378.3
238,19.41,7.788,86.25,1.2872,14.09,371.1,128.73,1.93,377.9
239,19.51,7.804,86.26,1.2905,14.19,368.6,129.35,1.851,377.7
240,19.96,7.761,86.48,1.2853,14.41,359.9,129.32,1.873,381.6
241,20.05,7.773,86.62,1.2834,14.5,361.3,129.06,1.836,384.5
242,19.76,7.753,86.1,1.2937,14.47,360.9,128.43,1.834,384.5
243,19.45,7.745,86.02,1.2969,14.5,359.1,128.3,1.825,382.7
244,19.39,7.756,85.8,1.2957,14.56,360.8,128.43,1.765,383.5
245,19.13,7.664,85.48,1.3049,14.69,359.1,128.18,1.708,382.5
246,18.52,7.579,84.46,1.322,14.78,360.3,127.55,1.453,387.0
247,18.78,7.526,83.72,1.3384,14.62,361.0,126.75,1.397,396.8
248,18.97,7.523,83.88,1.334,14.38,360.7,127.57,1.4,399.3
249,18.5,7.508,83.31,1.3468,14.34,355.9,126.45,1.381,404.8
250,18.76,7.513,83.62,1.3345,14.56,355.0,125.9,1.378,406.5
251,18.65,7.452,83.74,1.3359,14.62,356.2,125.6,1.38,415.1
252,19.12,7.396,83.52,1.3369,15.22,356.3,124.85,1.343,417.1
253,19.49,7.46,83.83,1.3285,15.0,354.2,124.4,1.305,417.3
254,19.23,7.48,84.42,1.3182,15.03,352.5,124.67,1.299,419.3
255,19.21,7.435,83.17,1.3437,14.91,351.3,123.4,1.278,418.0
256,18.69,7.391,82.84,1.3495,14.81,351.5,124.07,1.304,417.4
257,17.87,7.388,82.92,1.3489,14.62,352.4,124.35,1.29,418.1
258,17.86,7.411,85.32,1.304,14.53,358.4,125.85,1.259,417.6
259,18.23,7.465,86.51,1.2844,14.69,357.8,126.98,1.206,415.1
260,18.79,7.493,86.18,1.2906,14.81,355.4,127.05,1.234,414.3
261,18.47,7.536,86.67,1.2808,15.06,356.2,126.93,1.247,420.4
262,18.85,7.561,88.18,1.2547,14.88,355.7,128.55,1.294,420.8
263,18.91,7.646,87.83,1.2609,14.78,357.9,128.2,1.35,418.2
264,19.16,7.604,86.39,1.2839,14.97,355.4,124.15,1.246,418.9
265,18.89,7.6,86.27,1.285,15.0,359.1,123.32,1.227,416.4
266,18.47,7.574,86.15,1.2864,15.22,359.3,123.6,1.228,412.6
267,18.94,7.627,86.26,1.2843,14.88,359.2,123.35,1.149,418.1
268,18.72,7.703,86.94,1.27,14.75,355.8,123.84,1.075,415.0
269,19.0,7.712,86.37,1.279,15.06,355.6,123.55,1.168,415.5
270,19.36,7.708,87.41,1.2679,15.12,355.9,125.23,1.218,415.0
271,19.17,7.65,87.05,1.2765,15.09,356.8,125.75,1.181,415.0
272,18.89,7.717,86.98,1.275,14.84,357.1,125.68,1.18,410.3
273,18.94,7.784,87.58,1.2642,14.75,355.6,125.73,1.166,411.6
274,18.9,7.758,87.49,1.2685,14.56,358.9,125.81,1.18,408.8
275,18.96,7.808,87.08,1.2765,14.78,358.4,126.22,1.176,409.5
276,19.27,7.75,86.7,1.2815,14.88,357.9,126.18,1.198,413.9
277,19.5,7.73,86.25,1.2915,14.5,357.3,125.5,1.189,413.8
278,19.5,7.755,86.1,1.295,14.66,357.4,125.72,1.183,413.8
279,19.87,7.76,85.29,1.3095,14.62,356.5,125.36,1.19,411.1
280,19.78,7.787,86.1,1.2945,14.59,357.4,126.75,1.196,413.8
281,19.28,7.784,86.93,1.2802,14.53,357.8,127.39,1.13,413.8
282,19.27,7.811,87.5,1.2715,14.69,359.6,127.45,1.136,417.1
283,19.68,7.912,88.28,1.26,14.56,357.3,127.66,1.115,413.7
284,19.46,7.902,88.32,1.2575,14.56,355.1,127.9,1.079,412.5
285,18.12,7.968,89.06,1.2446,14.28,354.7,128.0,1.081,407.4
286,18.41,7.913,89.05,1.2455,14.31,354.5,128.2,1.139,408.3
287,18.54,7.905,89.09,1.2445,14.5,354.7,128.55,1.145,413.9
288,18.66,7.946,89.65,1.2366,14.47,352.5,128.91,1.249,411.5
289,18.43,7.968,89.44,1.2383,14.41,351.1,129.2,1.175,412.3
290,18.48,7.932,89.75,1.234,14.31,350.6,129.8,1.18,410.4
291,18.46,7.837,89.2,1.2438,14.41,350.8,129.15,1.18,415.4
292,18.75,7.846,88.72,1.2522,14.31,356.1,129.1,1.156,413.9
293,18.68,7.795,88.99,1.2485,14.28,355.2,129.5,1.171,412.7
294,18.34,7.897,89.2,1.2456,14.0,353.6,129.7,1.167,412.4
295,18.64,7.921,89.97,1.2353,13.91,352.6,131.07,1.167,412.9
296,18.63,7.908,90.51,1.2276,13.75,352.8,131.6,1.191,409.3
297,18.55,7.949,90.69,1.2236,13.91,353.5,131.9,1.18,406.5
298,18.51,7.924,90.48,1.227,13.91,351.5,131.8,1.165,404.4
299,18.67,7.871,90.26,1.2314,13.88,350.9,131.9,1.18,405.2
300,18.69,7.894,90.72,1.225,13.84,350.9,132.85,1.188,406.9
301,18.5,7.957,90.35,1.2311,13.84,352.5,133.41,1.184,404.0
302,18.83,8.035,90.83,1.2253,14.12,349.1,134.2,1.197,403.9
303,19.18,8.063,90.84,1.2246,14.28,348.4,133.66,1.212,405.8
304,19.15,8.071,90.51,1.2302,14.22,345.0,133.82,1.227,406.4
305,19.24,8.01,89.76,1.2419,14.22,341.7,132.8,1.245,409.6
306,19.07,8.004,89.99,1.2358,13.94,339.9,132.37,1.247,409.1
307,19.29,7.971,90.91,1.2231,13.84,340.1,133.56,1.253,409.8
308,18.9,8.047,90.94,1.2235,13.69,339.5,133.85,1.268,411.3
309,19.13,8.035,90.68,1.2274,13.81,339.5,133.35,1.346,409.9
310,19.22,7.938,90.54,1.229,13.78,340.8,133.56,1.281,408.9
311,19.19,7.941,90.0,1.2382,13.75,342.2,133.47,1.379,407.5
312,19.28,7.988,90.52,1.2315,13.94,342.0,134.0,1.322,407.9
313,19.16,7.941,89.52,1.245,13.78,343.4,133.05,1.326,403.5
314,19.25,7.944,89.81,1.2415,13.75,343.8,132.85,1.332,403.0
315,19.44,7.959,89.65,1.2431,13.69,345.5,132.8,1.357,403.7
316,19.84,7.897,90.22,1.2365,13.78,344.6,134.55,1.381,404.2
317,19.8,7.905,89.85,1.243,13.69,342.4,133.72,1.352,400.5
318,20.29,7.878,89.08,1.2555,13.97,342.7,133.45,1.319,401.6
319,20.45,7.884,89.02,1.2565,14.44,341.8,133.16,1.315,405.6
320,20.23,7.884,88.85,1.26,14.16,340.1,133.31,1.285,398.1
321,20.62,7.916,88.98,1.2555,14.31,339.3,132.62,1.305,394.5
322,20.31,7.851,88.48,1.2625,14.31,340.9,132.12,1.31,400.6
323,20.44,7.884,89.25,1.2505,14.41,342.5,132.9,1.294,404.3
324,20.22,7.857,89.9,1.24,14.16,340.6,133.1,1.27,406.1
325,19.86,7.8665,89.81,1.2385,14.41,340.8,133.05,1.276,412.4
326,19.87,7.876,90.12,1.2325,14.75,337.0,133.41,1.34,416.3
327,20.21,7.93,90.51,1.2285,14.69,338.3,133.95,1.361,416.1
328,20.24,8.016,90.51,1.2305,14.66,337.7,134.32,1.417,410.2
329,20.25,8.012,90.51,1.2297,14.78,341.7,134.25,1.468,410.3
330,20.11,8.041,90.21,1.2353,14.5,339.8,134.22,1.571,409.8
331,20.11,8.055,90.28,1.2375,14.81,339.3,134.6,1.45,411.6
332,20.22,8.043,89.79,1.2425,14.72,337.5,134.45,1.386,409.0
333,20.29,8.1,89.78,1.241,14.69,337.1,133.06,1.383,408.4
334,20.41,8.052,89.75,1.2422,14.81,337.2,133.15,1.409,409.1
335,20.77,8.064,89.93,1.2381,14.81,337.3,133.57,1.45,412.0
336,20.85,8.036,89.62,1.2455,15.0,338.8,133.2,1.422,414.9
337,20.85,8.005,89.12,1.251,14.81,340.2,132.6,1.431,412.5
338,21.12,8.022,89.45,1.2467,15.0,338.5,133.25,1.458,416.9
339,20.8,8.002,89.04,1.2541,14.97,338.7,132.85,1.529,416.8
340,20.77,7.972,88.67,1.2608,14.84,338.4,132.27,1.496,416.8
341,20.71,7.976,88.92,1.257,14.66,336.8,132.47,1.484,415.9
342,20.86,7.898,89.39,1.2493,14.72,337.2,133.4,1.475,416.1
343,21.0,7.89,89.15,1.2545,14.88,337.9,132.93,1.49,418.5
344,20.96,7.86,88.29,1.2663,14.72,336.6,130.61,1.543,416.3
345,20.76,7.847,87.6,1.278,14.88,336.9,129.62,1.562,416.4
346,20.55,7.844,87.94,1.2701,15.0,339.2,130.44,1.623,413.1
347,20.69,7.806,87.63,1.2767,14.81,339.9,129.78,1.657,410.1
348,20.52,7.809,86.91,1.2875,14.94,340.1,128.76,1.678,412.8
349,20.12,7.761,86.75,1.2895,15.0,339.0,129.22,1.751,416.4
350,20.4,7.812,87.27,1.2837,14.81,339.2,129.53,1.788,415.4
351,20.9,7.838,87.96,1.271,14.91,338.2,130.25,1.53,412.6
352,20.94,7.82,87.9,1.272,15.12,338.9,129.18,1.545,414.0
353,22.0,7.8848,87.65,1.2735,16.0,339.2,129.63,1.63,411.4
354,21.92,7.901,88.83,1.2565,15.44,339.0,130.09,1.59,412.2
355,21.95,7.914,88.27,1.265,15.5,339.0,129.5,1.617,416.7
356,22.11,7.835,87.22,1.2785,15.16,338.4,127.7,1.625,415.4
